CASP,Stage,Target,Model,GDT_TS,MQAScore
casp12,stage_1,T0946,T0946TS434_2,12.93,0.080012765
casp12,stage_1,T0946,T0946TS455_5,9.42,0.081152871
casp12,stage_1,T0946,T0946TS455_4,7.79,0.066552501
casp12,stage_1,T0946,T0946TS455_3,9.25,0.060734739
casp12,stage_1,T0946,T0946TS455_2,6.93,0.043517362
casp12,stage_1,T0946,T0946TS434_4,11.13,0.06383166
casp12,stage_1,T0946,T0946TS464_5,8.13,0.064988602
casp12,stage_1,T0946,T0946TS434_5,12.67,0.053447319
casp12,stage_1,T0946,T0946TS349_1,41.61,0.368311946
casp12,stage_1,T0946,T0946TS359_1,10.62,0.362359928
casp12,stage_1,T0946,T0946TS434_1,9.68,0.071556265
casp12,stage_1,T0946,T0946TS467_1,9.42,0.254070614
casp12,stage_1,T0946,T0946TS180_2,14.73,0.280260622
casp12,stage_1,T0946,T0946TS455_1,6.25,0.054268717
casp12,stage_1,T0946,T0946TS425_2,14.55,0.130368775
casp12,stage_1,T0910,T0910TS432_1,33.06,0.231457807
casp12,stage_1,T0910,T0910TS464_2,8.58,0.087148809
casp12,stage_1,T0910,T0910TS432_4,19.48,0.168742637
casp12,stage_1,T0910,T0910TS321_3,9.78,0.05808123
casp12,stage_1,T0910,T0910TS434_3,11.72,0.064554484
casp12,stage_1,T0910,T0910TS451_2,33.51,0.084895804
casp12,stage_1,T0910,T0910TS434_2,11.72,0.051481824
casp12,stage_1,T0910,T0910TS183_1,85.37,0.763671006
casp12,stage_1,T0910,T0910TS321_2,9.25,0.052174804
casp12,stage_1,T0910,T0910TS432_2,25.22,0.163918526
casp12,stage_1,T0910,T0910TS432_3,22.76,0.135488852
casp12,stage_1,T0910,T0910TS434_5,11.27,0.065248316
casp12,stage_1,T0910,T0910TS434_4,13.96,0.039404546
casp12,stage_1,T0910,T0910TS464_5,10.3,0.043632239
casp12,stage_1,T0910,T0910TS321_5,10.6,0.055986631
casp12,stage_1,T0910,T0910TS451_5,29.63,0.090851226
casp12,stage_1,T0910,T0910TS321_1,9.63,0.075115132
casp12,stage_1,T0910,T0910TS434_1,10.82,0.072279179
casp12,stage_1,T0910,T0910TS451_3,31.57,0.073191472
casp12,stage_1,T0910,T0910TS180_5,19.7,0.114162631
casp12,stage_1,T0888,T0888TS180_3,15.5,0.096226064
casp12,stage_1,T0888,T0888TS183_4,19.84,0.335452265
casp12,stage_1,T0888,T0888TS287_3,22.31,0.331003651
casp12,stage_1,T0888,T0888TS444_2,14.67,0.436281268
casp12,stage_1,T0888,T0888TS464_5,12.19,0.045909593
casp12,stage_1,T0888,T0888TS446_2,12.81,0.481649958
casp12,stage_1,T0888,T0888TS455_2,15.29,0.075526697
casp12,stage_1,T0888,T0888TS455_4,15.29,0.041942687
casp12,stage_1,T0888,T0888TS258_2,14.46,0.144331799
casp12,stage_1,T0888,T0888TS455_5,14.67,0.087988211
casp12,stage_1,T0888,T0888TS313_1,13.84,0.062577658
casp12,stage_1,T0888,T0888TS250_3,15.7,0.198141157
casp12,stage_1,T0888,T0888TS026_1,18.39,0.24101989
casp12,stage_1,T0888,T0888TS321_1,14.67,0.080496239
casp12,stage_1,T0888,T0888TS452_5,14.67,0.161408649
casp12,stage_1,T0888,T0888TS434_1,19.42,0.029083945
casp12,stage_1,T0888,T0888TS452_2,15.7,0.32038042
casp12,stage_1,T0888,T0888TS451_2,14.88,0.032685821
casp12,stage_1,T0888,T0888TS446_5,11.57,0.182285019
casp12,stage_1,T0888,T0888TS425_4,15.7,0.394848322
casp12,stage_1,T0875,T0875TS284_4,15.52,0.086840111
casp12,stage_1,T0875,T0875TS380_5,16.38,0.177420395
casp12,stage_1,T0875,T0875TS455_1,14.87,0.034432027
casp12,stage_1,T0875,T0875TS467_3,21.77,0.108432597
casp12,stage_1,T0875,T0875TS258_1,20.26,0.184124084
casp12,stage_1,T0875,T0875TS479_1,39.22,0.579147795
casp12,stage_1,T0875,T0875TS455_2,16.38,0.022034289
casp12,stage_1,T0875,T0875TS284_2,17.03,0.07677035
casp12,stage_1,T0875,T0875TS284_1,13.79,0.108542811
casp12,stage_1,T0875,T0875TS432_5,28.88,0.456064986
casp12,stage_1,T0875,T0875TS455_3,15.73,0.066434127
casp12,stage_1,T0875,T0875TS455_5,15.52,0.080556089
casp12,stage_1,T0875,T0875TS434_2,22.84,0.235137238
casp12,stage_1,T0875,T0875TS284_5,18.53,0.060787678
casp12,stage_1,T0875,T0875TS284_3,18.32,0.088368251
casp12,stage_1,T0875,T0875TS464_2,20.91,0.103027832
casp12,stage_1,T0875,T0875TS452_1,19.4,0.374438278
casp12,stage_1,T0875,T0875TS467_5,16.38,0.114674827
casp12,stage_1,T0875,T0875TS467_2,17.24,0.04482629
casp12,stage_1,T0875,T0875TS251_3,22.84,0.292659581
casp12,stage_1,T0945,T0945TS321_4,8.27,0.064228504
casp12,stage_1,T0945,T0945TS434_3,10.2,0.133380772
casp12,stage_1,T0945,T0945TS434_2,7.93,0.097020667
casp12,stage_1,T0945,T0945TS444_5,9.73,0.37502053
casp12,stage_1,T0945,T0945TS434_4,10.2,0.074034406
casp12,stage_1,T0945,T0945TS467_4,9.93,0.192152279
casp12,stage_1,T0945,T0945TS434_5,8,0.074306044
casp12,stage_1,T0945,T0945TS452_4,11.8,0.212946465
casp12,stage_1,T0945,T0945TS444_3,9.4,0.238535424
casp12,stage_1,T0945,T0945TS180_2,11.27,0.224366977
casp12,stage_1,T0945,T0945TS467_2,9,0.224341518
casp12,stage_1,T0945,T0945TS434_1,8.8,0.104521343
casp12,stage_1,T0945,T0945TS180_1,10.93,0.176930012
casp12,stage_1,T0945,T0945TS180_3,10.13,0.109392728
casp12,stage_1,T0945,T0945TS180_4,8.4,0.081550744
casp12,stage_1,T0945,T0945TS464_2,7.4,0.069450884
casp12,stage_1,T0945,T0945TS321_5,11.2,0.066393655
casp12,stage_1,T0945,T0945TS464_5,8.2,0.110948999
casp12,stage_1,T0945,T0945TS313_4,54.87,0.424146602
casp12,stage_1,T0943,T0943TS434_5,5.8,0.067541167
casp12,stage_1,T0943,T0943TS464_2,4.81,0.077194565
casp12,stage_1,T0943,T0943TS479_3,47.05,0.547963775
casp12,stage_1,T0943,T0943TS467_5,6.29,0.120377806
casp12,stage_1,T0943,T0943TS180_3,6.19,0.114352092
casp12,stage_1,T0943,T0943TS452_5,5.84,0.082975878
casp12,stage_1,T0943,T0943TS455_4,4.86,0.018396396
casp12,stage_1,T0943,T0943TS455_2,4.91,0.028052514
casp12,stage_1,T0943,T0943TS464_5,4.91,0.08822525
casp12,stage_1,T0943,T0943TS180_4,4.17,0.036122452
casp12,stage_1,T0943,T0943TS434_2,5.01,0.050375847
casp12,stage_1,T0943,T0943TS321_4,6.09,0.05482595
casp12,stage_1,T0943,T0943TS180_1,5.01,0.11119074
casp12,stage_1,T0943,T0943TS180_5,6.78,0.068931337
casp12,stage_1,T0943,T0943TS452_3,5.7,0.088717208
casp12,stage_1,T0943,T0943TS434_1,5.75,0.064362832
casp12,stage_1,T0943,T0943TS455_1,4.76,0.055358523
casp12,stage_1,T0943,T0943TS180_2,4.71,0.109710603
casp12,stage_1,T0943,T0943TS434_4,5.11,0.073528356
casp12,stage_1,T0943,T0943TS434_3,5.6,0.050425651
casp12,stage_1,T0897,T0897TS446_3,9.64,0.420955656
casp12,stage_1,T0897,T0897TS444_2,9.16,0.262382632
casp12,stage_1,T0897,T0897TS407_4,8.49,0.042867675
casp12,stage_1,T0897,T0897TS467_1,9.45,0.371863084
casp12,stage_1,T0897,T0897TS180_4,8.02,0.081828144
casp12,stage_1,T0897,T0897TS455_5,7.92,0.118407368
casp12,stage_1,T0897,T0897TS434_3,9.26,0.03217894
casp12,stage_1,T0897,T0897TS250_1,17.84,0.240651601
casp12,stage_1,T0897,T0897TS357_1,5.92,0.043035937
casp12,stage_1,T0897,T0897TS446_1,9.26,0.250998188
casp12,stage_1,T0897,T0897TS287_1,8.87,0.098180993
casp12,stage_1,T0897,T0897TS455_3,7.82,0.05883478
casp12,stage_1,T0897,T0897TS455_1,8.3,0.040274313
casp12,stage_1,T0897,T0897TS313_2,8.3,0.09590456
casp12,stage_1,T0897,T0897TS451_3,8.11,0.055955971
casp12,stage_1,T0897,T0897TS467_2,9.73,0.201160161
casp12,stage_1,T0897,T0897TS258_2,9.73,0.074633893
casp12,stage_1,T0897,T0897TS345_5,9.35,0.124387822
casp12,stage_1,T0897,T0897TS464_1,6.87,0.040185984
casp12,stage_1,T0897,T0897TS236_1,10.12,0.262345006
casp12,stage_1,T0859,T0859TS407_2,22.34,0.059828123
casp12,stage_1,T0859,T0859TS451_3,24.11,0.064848211
casp12,stage_1,T0859,T0859TS455_5,13.27,0.06481529
casp12,stage_1,T0859,T0859TS321_1,17.7,0.062553799
casp12,stage_1,T0859,T0859TS119_1,13.94,0.156233271
casp12,stage_1,T0859,T0859TS180_3,13.72,0.190762715
casp12,stage_1,T0859,T0859TS455_2,13.72,0.057764096
casp12,stage_1,T0859,T0859TS455_4,15.27,0.041125795
casp12,stage_1,T0859,T0859TS455_3,18.36,0.066166237
casp12,stage_1,T0859,T0859TS258_3,14.38,0.156044472
casp12,stage_1,T0859,T0859TS005_5,13.05,0.328206492
casp12,stage_1,T0859,T0859TS432_4,16.37,0.078681445
casp12,stage_1,T0859,T0859TS357_4,18.36,0.109306561
casp12,stage_1,T0859,T0859TS180_5,15.93,0.058851818
casp12,stage_1,T0859,T0859TS359_2,13.05,0.205354521
casp12,stage_1,T0859,T0859TS464_1,14.6,0.05852968
casp12,stage_1,T0859,T0859TS446_5,21.24,0.242838618
casp12,stage_1,T0859,T0859TS005_1,19.91,0.292061197
casp12,stage_1,T0859,T0859TS479_1,24.78,0.516136027
casp12,stage_1,T0859,T0859TS405_1,17.04,0.148956623
casp12,stage_1,T0898,T0898TS446_3,16.15,0.161304805
casp12,stage_1,T0898,T0898TS251_5,17.86,0.185802946
casp12,stage_1,T0898,T0898TS287_1,20.34,0.303365927
casp12,stage_1,T0898,T0898TS425_2,20.19,0.214613188
casp12,stage_1,T0898,T0898TS467_1,16.15,0.188791316
casp12,stage_1,T0898,T0898TS180_3,12.27,0.048157378
casp12,stage_1,T0898,T0898TS455_2,13.2,0.023706325
casp12,stage_1,T0898,T0898TS359_4,13.66,0.045285945
casp12,stage_1,T0898,T0898TS455_4,10.4,0.016790528
casp12,stage_1,T0898,T0898TS479_2,31.68,0.510158125
casp12,stage_1,T0898,T0898TS251_4,14.91,0.173707166
casp12,stage_1,T0898,T0898TS287_5,26.86,0.154082805
casp12,stage_1,T0898,T0898TS321_1,21.74,0.129197685
casp12,stage_1,T0898,T0898TS455_1,14.29,0.041232301
casp12,stage_1,T0898,T0898TS434_3,18.79,0.16941744
casp12,stage_1,T0898,T0898TS455_3,9.63,0.01927411
casp12,stage_1,T0898,T0898TS359_2,15.06,0.064658737
casp12,stage_1,T0898,T0898TS345_4,20.5,0.182130002
casp12,stage_1,T0898,T0898TS455_5,16.77,0.062279376
casp12,stage_1,T0898,T0898TS028_5,16.93,0.06934857
casp12,stage_1,T0916,T0916TS250_4,21.64,0.276442958
casp12,stage_1,T0916,T0916TS464_2,15.6,0.134482471
casp12,stage_1,T0916,T0916TS455_2,16.11,0.019529011
casp12,stage_1,T0916,T0916TS455_1,13.93,0.037881605
casp12,stage_1,T0916,T0916TS275_5,20.13,0.188385926
casp12,stage_1,T0916,T0916TS455_3,15.94,0.154678404
casp12,stage_1,T0916,T0916TS321_1,25.34,0.090922979
casp12,stage_1,T0916,T0916TS455_5,12.58,0.031370878
casp12,stage_1,T0916,T0916TS321_5,20.97,0.11512372
casp12,stage_1,T0916,T0916TS455_4,13.76,0.051367721
casp12,stage_1,T0916,T0916TS287_1,21.81,0.425913069
casp12,stage_1,T0916,T0916TS183_2,22.99,0.458740931
casp12,stage_1,T0916,T0916TS321_4,19.46,0.118824799
casp12,stage_1,T0916,T0916TS028_2,18.12,0.072784227
casp12,stage_1,T0916,T0916TS313_3,21.31,0.16155756
casp12,stage_1,T0916,T0916TS464_5,16.44,0.208169122
casp12,stage_1,T0916,T0916TS359_1,18.12,0.393776724
casp12,stage_1,T0916,T0916TS452_2,18.79,0.224598303
casp12,stage_1,T0916,T0916TS251_5,20.3,0.319415657
casp12,stage_1,T0862,T0862TS455_2,19.36,0.051380217
casp12,stage_1,T0862,T0862TS359_3,26.34,0.225343131
casp12,stage_1,T0862,T0862TS359_1,19.62,0.330342683
casp12,stage_1,T0862,T0862TS432_3,34.68,0.325927537
casp12,stage_1,T0862,T0862TS434_2,35.22,0.13896524
casp12,stage_1,T0862,T0862TS444_3,33.6,0.266057217
casp12,stage_1,T0862,T0862TS495_1,19.36,0.079655806
casp12,stage_1,T0862,T0862TS425_2,45.7,0.196158705
casp12,stage_1,T0862,T0862TS284_1,10.21,0.121808638
casp12,stage_1,T0862,T0862TS464_4,33.06,0.133922064
casp12,stage_1,T0862,T0862TS434_3,33.06,0.268235831
casp12,stage_1,T0862,T0862TS359_5,27.69,0.251706032
casp12,stage_1,T0862,T0862TS455_4,20.97,0.040028224
casp12,stage_1,T0862,T0862TS455_1,20.16,0.067186573
casp12,stage_1,T0862,T0862TS284_5,22.04,0.09419416
casp12,stage_1,T0862,T0862TS359_2,21.24,0.217451321
casp12,stage_1,T0862,T0862TS284_2,21.24,0.063168202
casp12,stage_1,T0862,T0862TS455_5,19.36,0.034339738
casp12,stage_1,T0862,T0862TS251_3,29.3,0.18536579
casp12,stage_1,T0862,T0862TS321_2,34.14,0.156359789
casp12,stage_1,T0866,T0866TS258_3,21.96,0.25976121
casp12,stage_1,T0866,T0866TS467_2,17.39,0.250492169
casp12,stage_1,T0866,T0866TS455_1,13.48,0.045636125
casp12,stage_1,T0866,T0866TS359_1,17.39,0.201178049
casp12,stage_1,T0866,T0866TS455_5,15.22,0.073050061
casp12,stage_1,T0866,T0866TS446_4,17.17,0.080934347
casp12,stage_1,T0866,T0866TS464_5,14.13,0.085726043
casp12,stage_1,T0866,T0866TS446_3,21.3,0.307600096
casp12,stage_1,T0866,T0866TS455_2,13.7,0.036973549
casp12,stage_1,T0866,T0866TS444_5,14.56,0.132767105
casp12,stage_1,T0866,T0866TS434_2,24.35,0.074711538
casp12,stage_1,T0866,T0866TS425_1,17.61,0.240360891
casp12,stage_1,T0866,T0866TS028_2,17.17,0.035054367
casp12,stage_1,T0866,T0866TS183_1,41.74,0.389544173
casp12,stage_1,T0866,T0866TS434_3,16.96,0.05417652
casp12,stage_1,T0866,T0866TS455_4,15.65,0.094414383
casp12,stage_1,T0866,T0866TS275_2,21.09,0.073884927
casp12,stage_1,T0866,T0866TS467_3,25,0.362345528
casp12,stage_1,T0866,T0866TS434_5,22.61,0.063434675
casp12,stage_1,T0866,T0866TS251_1,13.91,0.09882627
casp12,stage_1,T0886,T0886TS345_1,8.73,0.062482031
casp12,stage_1,T0886,T0886TS455_4,8.62,0.030122135
casp12,stage_1,T0886,T0886TS464_5,10.37,0.085914843
casp12,stage_1,T0886,T0886TS077_1,10.59,0.175098475
casp12,stage_1,T0886,T0886TS479_1,26.96,0.571131045
casp12,stage_1,T0886,T0886TS455_5,7.53,0.047929495
casp12,stage_1,T0886,T0886TS467_4,11.24,0.245107077
casp12,stage_1,T0886,T0886TS275_2,7.42,0.065899887
casp12,stage_1,T0886,T0886TS357_3,9.82,0.069196674
casp12,stage_1,T0886,T0886TS236_4,7.42,0.045314998
casp12,stage_1,T0886,T0886TS452_3,11.79,0.109706898
casp12,stage_1,T0886,T0886TS359_1,8.84,0.156582101
casp12,stage_1,T0886,T0886TS026_2,10.48,0.198164212
casp12,stage_1,T0886,T0886TS258_3,10.37,0.147995454
casp12,stage_1,T0886,T0886TS455_2,8.41,0.061343776
casp12,stage_1,T0886,T0886TS455_3,7.21,0.064526044
casp12,stage_1,T0886,T0886TS464_2,9.5,0.091866301
casp12,stage_1,T0886,T0886TS321_1,9.72,0.065689739
casp12,stage_1,T0886,T0886TS467_5,8.73,0.380898145
casp12,stage_1,T0886,T0886TS313_5,9.5,0.083216916
casp12,stage_1,T0878,T0878TS359_2,5.96,0.338624895
casp12,stage_1,T0878,T0878TS357_5,5.96,0.041416404
casp12,stage_1,T0878,T0878TS251_4,11.19,0.16325332
casp12,stage_1,T0878,T0878TS455_2,7.78,0.031738437
casp12,stage_1,T0878,T0878TS452_4,6.98,0.191948987
casp12,stage_1,T0878,T0878TS405_2,9.01,0.16867149
casp12,stage_1,T0878,T0878TS467_2,8.21,0.22276853
casp12,stage_1,T0878,T0878TS467_3,6.61,0.150202611
casp12,stage_1,T0878,T0878TS455_5,5.89,0.040630561
casp12,stage_1,T0878,T0878TS434_1,7.99,0.044143846
casp12,stage_1,T0878,T0878TS455_1,6.54,0.050320781
casp12,stage_1,T0878,T0878TS464_1,6.98,0.059762527
casp12,stage_1,T0878,T0878TS180_4,7.78,0.117438627
casp12,stage_1,T0878,T0878TS287_1,8.14,0.181080802
casp12,stage_1,T0878,T0878TS321_4,7.49,0.040490872
casp12,stage_1,T0878,T0878TS275_4,5.09,0.046916503
casp12,stage_1,T0878,T0878TS349_1,13.23,0.077261735
casp12,stage_1,T0878,T0878TS451_5,12.64,0.049328404
casp12,stage_1,T0878,T0878TS455_4,5.81,0.047169934
casp12,stage_1,T0878,T0878TS359_3,6.39,0.182125166
casp12,stage_1,T0922,T0922TS467_5,34.46,0.084599738
casp12,stage_1,T0922,T0922TS455_5,23.99,0.036887079
casp12,stage_1,T0922,T0922TS455_2,18.92,0.03372205
casp12,stage_1,T0922,T0922TS183_3,78.38,0.669206756
casp12,stage_1,T0922,T0922TS180_5,31.42,0.051605329
casp12,stage_1,T0922,T0922TS455_1,22.64,0.042356188
casp12,stage_1,T0922,T0922TS180_1,30.41,0.263437634
casp12,stage_1,T0922,T0922TS028_4,41.55,0.127465158
casp12,stage_1,T0922,T0922TS432_3,40.88,0.3242329
casp12,stage_1,T0922,T0922TS467_4,38.51,0.128096932
casp12,stage_1,T0922,T0922TS321_3,28.04,0.067650432
casp12,stage_1,T0922,T0922TS467_2,27.7,0.275204647
casp12,stage_1,T0922,T0922TS464_5,33.11,0.106942112
casp12,stage_1,T0922,T0922TS359_4,27.36,0.103451667
casp12,stage_1,T0922,T0922TS284_5,29.73,0.095635511
casp12,stage_1,T0922,T0922TS455_4,24.66,0.026839627
casp12,stage_1,T0922,T0922TS434_1,29.73,0.133007459
casp12,stage_1,T0922,T0922TS434_5,35.81,0.090871732
casp12,stage_1,T0922,T0922TS321_2,30.41,0.044200462
casp12,stage_1,T0922,T0922TS321_4,33.78,0.076192377
casp12,stage_1,T0913,T0913TS455_5,7.17,0.083241568
casp12,stage_1,T0913,T0913TS434_2,10.28,0.05976417
casp12,stage_1,T0913,T0913TS464_5,8.51,0.074154735
casp12,stage_1,T0913,T0913TS321_1,9.47,0.068643565
casp12,stage_1,T0913,T0913TS321_4,9.69,0.032875887
casp12,stage_1,T0913,T0913TS434_1,11.39,0.051097556
casp12,stage_1,T0913,T0913TS349_1,59.91,0.495518399
casp12,stage_1,T0913,T0913TS432_3,18.12,0.223159771
casp12,stage_1,T0913,T0913TS464_2,6.66,0.040391313
casp12,stage_1,T0913,T0913TS434_4,11.32,0.040930613
casp12,stage_1,T0913,T0913TS434_3,10.65,0.05320458
casp12,stage_1,T0913,T0913TS432_5,18.34,0.117237175
casp12,stage_1,T0913,T0913TS432_4,18.93,0.085810507
casp12,stage_1,T0913,T0913TS455_4,8.06,0.03185737
casp12,stage_1,T0913,T0913TS434_5,9.54,0.054465061
casp12,stage_1,T0913,T0913TS180_5,13.46,0.091293717
casp12,stage_1,T0913,T0913TS455_3,6.8,0.069953964
casp12,stage_1,T0913,T0913TS432_1,18.05,0.122527648
casp12,stage_1,T0913,T0913TS451_3,18.12,0.035069504
casp12,stage_1,T0913,T0913TS451_1,12.13,0.058572685
casp12,stage_1,T0894,T0894TS180_4,14.69,0.109489666
casp12,stage_1,T0894,T0894TS455_1,12.06,0.044472553
casp12,stage_1,T0894,T0894TS275_2,10.49,0.071126689
casp12,stage_1,T0894,T0894TS321_2,19.93,0.080975387
casp12,stage_1,T0894,T0894TS452_1,17.13,0.061443041
casp12,stage_1,T0894,T0894TS275_5,8.92,0.063771016
casp12,stage_1,T0894,T0894TS251_4,13.64,0.157345879
casp12,stage_1,T0894,T0894TS464_5,15.04,0.128613198
casp12,stage_1,T0894,T0894TS455_2,12.76,0.023335297
casp12,stage_1,T0894,T0894TS455_5,12.76,0.075781577
casp12,stage_1,T0894,T0894TS180_1,15.04,0.081446105
casp12,stage_1,T0894,T0894TS250_1,15.73,0.251259083
casp12,stage_1,T0894,T0894TS452_3,17.13,0.128682772
casp12,stage_1,T0894,T0894TS077_3,45.1,0.323656729
casp12,stage_1,T0894,T0894TS357_2,19.41,0.044076151
casp12,stage_1,T0894,T0894TS180_5,20.45,0.100974842
casp12,stage_1,T0894,T0894TS455_4,11.71,0.034096668
casp12,stage_1,T0894,T0894TS451_1,20.11,0.097565134
casp12,stage_1,T0894,T0894TS455_3,12.06,0.074018387
casp12,stage_1,T0894,T0894TS407_5,14.69,0.083720297
casp12,stage_1,T0899,T0899TS464_5,6.63,0.087855453
casp12,stage_1,T0899,T0899TS434_2,8.93,0.029600534
casp12,stage_1,T0899,T0899TS321_4,8.07,0.051290624
casp12,stage_1,T0899,T0899TS180_5,10.45,0.0680754
casp12,stage_1,T0899,T0899TS455_1,6.7,0.059689036
casp12,stage_1,T0899,T0899TS434_1,8.43,0.03878262
casp12,stage_1,T0899,T0899TS444_1,8.29,0.305223936
casp12,stage_1,T0899,T0899TS183_1,27.02,0.386234674
casp12,stage_1,T0899,T0899TS467_1,7.64,0.142908132
casp12,stage_1,T0899,T0899TS464_2,6.7,0.071658235
casp12,stage_1,T0899,T0899TS434_3,7.28,0.040268806
casp12,stage_1,T0899,T0899TS467_2,8.21,0.1589415
casp12,stage_1,T0899,T0899TS434_5,7.71,0.053449143
casp12,stage_1,T0899,T0899TS180_4,7.42,0.074988791
casp12,stage_1,T0899,T0899TS467_5,8.65,0.125680308
casp12,stage_1,T0899,T0899TS180_1,7.21,0.134682967
casp12,stage_1,T0899,T0899TS444_5,8.93,0.207101461
casp12,stage_1,T0899,T0899TS434_4,9.58,0.051411656
casp12,stage_1,T0899,T0899TS455_5,6.27,0.053547255
casp12,stage_1,T0899,T0899TS451_2,13.47,0.065897383
casp12,stage_1,T0917,T0917TS321_3,9.55,0.054264743
casp12,stage_1,T0917,T0917TS464_2,6.39,0.063507371
casp12,stage_1,T0917,T0917TS434_2,12.53,0.066344982
casp12,stage_1,T0917,T0917TS287_4,72.95,0.855687117
casp12,stage_1,T0917,T0917TS434_3,14.7,0.092160977
casp12,stage_1,T0917,T0917TS434_5,9.55,0.063060683
casp12,stage_1,T0917,T0917TS451_4,33,0.176410755
casp12,stage_1,T0917,T0917TS321_1,8.99,0.052036609
casp12,stage_1,T0917,T0917TS180_5,30.77,0.133450437
casp12,stage_1,T0917,T0917TS434_1,12.35,0.07057977
casp12,stage_1,T0917,T0917TS451_3,34.99,0.194195801
casp12,stage_1,T0917,T0917TS434_4,10.36,0.053752934
casp12,stage_1,T0917,T0917TS464_5,6.51,0.086755098
casp12,stage_1,T0917,T0917TS432_3,35.55,0.366926875
casp12,stage_1,T0917,T0917TS432_2,36.91,0.403596721
casp12,stage_1,T0917,T0917TS451_2,34.55,0.199211134
casp12,stage_1,T0917,T0917TS432_5,37.53,0.38360925
casp12,stage_1,T0917,T0917TS432_1,39.45,0.533506899
casp12,stage_1,T0917,T0917TS432_4,40.57,0.287538436
casp12,stage_1,T0917,T0917TS321_5,9.49,0.070263516
casp12,stage_1,T0907,T0907TS455_2,5.82,0.074473937
casp12,stage_1,T0907,T0907TS250_1,16.7,0.344961861
casp12,stage_1,T0907,T0907TS357_2,7.11,0.027332987
casp12,stage_1,T0907,T0907TS467_5,7.53,0.144896607
casp12,stage_1,T0907,T0907TS452_4,7.02,0.189990956
casp12,stage_1,T0907,T0907TS464_5,7.62,0.045936204
casp12,stage_1,T0907,T0907TS321_3,8.48,0.06869244
casp12,stage_1,T0907,T0907TS467_2,9.16,0.315069321
casp12,stage_1,T0907,T0907TS464_2,7.02,0.072209677
casp12,stage_1,T0907,T0907TS180_5,8.99,0.030749018
casp12,stage_1,T0907,T0907TS407_4,6.34,0.040001944
casp12,stage_1,T0907,T0907TS444_1,5.48,0.336789815
casp12,stage_1,T0907,T0907TS446_2,8.22,0.142267072
casp12,stage_1,T0907,T0907TS180_4,8.13,0.113118964
casp12,stage_1,T0907,T0907TS467_1,7.53,0.240494232
casp12,stage_1,T0907,T0907TS467_3,7.11,0.208663075
casp12,stage_1,T0907,T0907TS407_1,8.56,0.019510967
casp12,stage_1,T0907,T0907TS434_3,10.19,0.035182322
